drug1,drug2,label
clonazepam clonazepam clonazepam clonazepam clonazepam,tezepelumab-ekko,0
liraglutide liraglutide liraglutide liraglutide liraglutide,"aconitum napellus, argentum nitricum, arnica montana, arsenicum album, astragalus membranaceus, baptisia tinctoria, bryonia (alba), calendula officinalis, cortisone aceticum, echinacea (angustifolia), eupatorium perfoliatum, euphorbium officinarum, gelsemium sempervirens, hepar sulphuris calcareum, influenzinum (2023-2024), lachesis mutus, mercurius corrosivus, phosphorus, phytolacca decandra, pulsatilla (pratensis), pyrogenium, rhus tox, sanguinaria canadensis, spleen (suis), sulphur, thuja occidentalis, arnica montana, belladonna, cortisone aceticum, hypericum perforatum, symphytum officinale acetaldehyde, dopamine hydrochloride, dhea (dehydroepiandrosterone), 7-oxo- dehydroepiandrosterone 3-acetate, folliculinum, oophorinum (suis), cholesterinum, progesterone, testosterone, cortisone aceticum, aldosterone, androsterone, follicle stimulating hormone sarcolacticum acidum, viscum album, iodium, fucus vesiculosus, galium aparine, natrum oxalaceticum, thyroidinum (suis), dhea (dehydroepiandrosterone), phenyl isothiocyanate, tyramine, adenosinum triphosphoricum dinatrum, alpha-ketoglutaricum acidum, fumaricum acidum, malicum acid, colchicum autumnale, conium maculatum, funiculus umbilicalis suis, hepar suis, medulla ossis suis, pineal gland (suis), spleen (suis), thymus (suis), calcarea fluorica, pulsatilla (pratensis), spongia tosta, cortisone aceticum, caltha palustris, clematis erecta, galium aparine, hedera helix, juniperus communis, sedum acre, sempervivum tectorum, thuja occidentalis, urtica urens, echinacea (angustifolia), argentum metallicum, calcarea fluorica, nitricum acidum, phosphorus, cortisone aceticum, aurum metallicum, apis mellifica, ononis spinosa, gaertner bacillus (bach)",0
indomethacin indomethacin indomethacin indomethacin indomethacin,anastrozole anastrozole anastrozole anastrozole anastrozole tablets,0
nadolol nadolol nadolol nadolol nadolol,lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,0
esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium,itraconazole itraconazole itraconazole itraconazole itraconazole,1
doxycycline doxycycline doxycycline hyclate doxycycline monohydrate doxycycline hyclate,glimepiride glimepiride glimepiride glimepiride glimepiride,0
fentanyl citrate fentanyl fentanyl fentanyl citrate fentanyl,lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,0
cefixime cefixime cefixime cefixime cefixime,ambrisentan ambrisentan ambrisentan ambrisentan ambrisentan,0
hydrocodone bitartrate and acetaminophen hydrocodone polistirex and chlorpheniramine polistirex hydrocodone bitartrate and acetaminophen hydrocodone bitartrate and acetaminophen hydrocodone bitartrate and acetaminophen,ciclesonide ciclesonide,0
terazosin hydrochloride terazosin hydrochloride terazosin terazosin hydrochloride terazosin,trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride,1
tigecycline tigecycline tigecycline tigecycline tigecycline,verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,0
dapagliflozin dapagliflozin dapagliflozin dapagliflozin and saxagliptin dapagliflozin,imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,1
"tetracycline hydrochloride tetracycline hydrochloride adenosinum triphosphoricum dinatrum, l-asparagine (monohydrate), l-phenylalanine, quercetin, ileum (suis), jejunum (suis), stomach (suis), ascorbicum acidum, calcarea carbonica, ferrum iodatum, tetracycline, egg (hen whole), proteus (morgani) tetracycline hydrochloride tetracycline hydrochloride",doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride,1
alprazolam alprazolam alprazolam alprazolam alprazolam,diazepam diazepam diazepam diazepam diazepam oral,1
glimepiride glimepiride glimepiride glimepiride glimepiride,darunavir darunavir ethanolate and cobicistat darunavir darunavir darunavir,0
ibuprofen ibuprofen ibuprofen ibuprofen ibuprofen,nicardipine hydrochloride nicardipine hydrochloride nicardipine hydrochloride nicardipine hydrochloride nicardipine hydrochloride,0
metronidazole metronidazole topical metronidazole metronidazole metronidazole,diazepam diazepam diazepam diazepam diazepam oral,1
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride,1
"diclofenac sodium diclofenac sodium diclofenac sodium diclofenac sodium topical gel, 1% diclofenac sodium",citalopram hydrobromide citalopram citalopram citalopram hydrobromide citalopram,0
dulaglutide dulaglutide dulaglutide dulaglutide dulaglutide,escitalopram oral escitalopram escitalopram escitalopram oxalate escitalopram oxalate,1
buprenorphine buprenorphine buprenorphine and naloxone buprenorphine hydrochloride buprenorphine,pioglitazone hydrochloride pioglitazone hydrochloride pioglitazone pioglitazone pioglitazone,1
oxycodone hydrochloride oxycodone and acetaminophen oxycodone and acetaminophen oxycodone and acetaminophen oxycodone hydrochloride,"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",1
"methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, isopropyl alcohol methylprednisolone methylprednisolone sodium succinate",methotrexate methotrexate methotrexate methotrexate methotrexate,1
heparin sodium heparin sodium heparin sodium heparin sodium taurolidine and heparin,imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,0
levofloxacin levofloxacin levofloxacin levofloxacin levofloxacin,cimetidine cimetidine cimetidine cimetidine cimetidine,1
ampicillin sodium and sulbactam sodium ampicillin sodium ampicillin sodium ampicillin ampicillin,heparin sodium heparin sodium heparin sodium heparin sodium taurolidine and heparin,1
tolmetin sodium tolmetin sodium tolmetin sodium tolmetin sodium tolmetin sodium,sodium iodide i 123 sodium iodide i 123,1
dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,omeprazole omeprazole omeprazole omeprazole magnesium omeprazole,0
bisoprolol fumarate bisoprolol fumarate bisoprolol fumarate and hydrochlorothiazide bisoprolol fumarate bisoprolol fumarate,metoclopramide metoclopramide metoclopramide metoclopramide metoclopramide,0
enalapril maleate enalapril maleate enalapril maleate enalapril maleate enalapril maleate,cyclophosphamide cyclophosphamide cyclophosphamide cyclophosphamide cyclophosphamide,0
ziprasidone ziprasidone hydrochloride ziprasidone mesylate ziprasidone ziprasidone mesylate,"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",1
nifedipine nifedipine nifedipine nifedipine nifedipine,"aconitum napellus, argentum nitricum, arnica montana, arsenicum album, astragalus membranaceus, baptisia tinctoria, bryonia (alba), calendula officinalis, cortisone aceticum, echinacea (angustifolia), eupatorium perfoliatum, euphorbium officinarum, gelsemium sempervirens, hepar sulphuris calcareum, influenzinum (2023-2024), lachesis mutus, mercurius corrosivus, phosphorus, phytolacca decandra, pulsatilla (pratensis), pyrogenium, rhus tox, sanguinaria canadensis, spleen (suis), sulphur, thuja occidentalis, arnica montana, belladonna, cortisone aceticum, hypericum perforatum, symphytum officinale acetaldehyde, dopamine hydrochloride, dhea (dehydroepiandrosterone), 7-oxo- dehydroepiandrosterone 3-acetate, folliculinum, oophorinum (suis), cholesterinum, progesterone, testosterone, cortisone aceticum, aldosterone, androsterone, follicle stimulating hormone sarcolacticum acidum, viscum album, iodium, fucus vesiculosus, galium aparine, natrum oxalaceticum, thyroidinum (suis), dhea (dehydroepiandrosterone), phenyl isothiocyanate, tyramine, adenosinum triphosphoricum dinatrum, alpha-ketoglutaricum acidum, fumaricum acidum, malicum acid, colchicum autumnale, conium maculatum, funiculus umbilicalis suis, hepar suis, medulla ossis suis, pineal gland (suis), spleen (suis), thymus (suis), calcarea fluorica, pulsatilla (pratensis), spongia tosta, cortisone aceticum, caltha palustris, clematis erecta, galium aparine, hedera helix, juniperus communis, sedum acre, sempervivum tectorum, thuja occidentalis, urtica urens, echinacea (angustifolia), argentum metallicum, calcarea fluorica, nitricum acidum, phosphorus, cortisone aceticum, aurum metallicum, apis mellifica, ononis spinosa, gaertner bacillus (bach)",1
"aspirin aspirin aspirin acetaminophen, aspirin, and caffeine aspirin",prasugrel prasugrel prasugrel prasugrel prasugrel,0
trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride,propylthiouracil propylthiouracil propylthiouracil propylthiouracil propylthiouracil,0
escitalopram oral escitalopram escitalopram escitalopram oxalate escitalopram oxalate,zileuton zileuton zileuton zileuton zileuton,0
metoprolol tartrate metoprolol succinate er tablets metoprolol succinate metoprolol tartrate metoprolol tartrate,minoxidil minoxidil minoxidil minoxidil minoxidil,0
amphotericin b amphotericin b amphotericin b amphotericin b amphotericin b,zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,0
phenytoin sodium phenytoin phenytoin phenytoin phenytoin sodium,cromolyn sodium cromolyn sodium inhalation solution cromolyn sodium cromolyn sodium cromolyn sodium inhalation,1
penicillin g benzathine penicillin g potassium penicillin g benzathin penicillin g sodium penicillin g potassium,doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride,0
methadone hydrochloride methadone hydrochloride methadone hydrochloride methadone hydrochloride methadone hydrochloride,piperacillin and tazobactam piperacillin sodium and tazobactam sodium piperacillin and tazobactam piperacillin and tazobactam piperacillin and tazobactam,0
torsemide torsemide torsemide torsemide torsemide,bempedoic acid and ezetimibe bempedoic acid,1
rabeprazole sodium rabeprazole sodium rabeprazole sodium rabeprazole sodium rabeprazole sodium,diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate,0
"empagliflozin and metformin hydrochloride empagliflozin empagliflozin empagliflozin empagliflozin, linagliptin, metformin hydrochloride",diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate,1
alogliptin and metformin hydrochloride alogliptin alogliptin alogliptin and pioglitazone alogliptin benzoate and pioglitazone hydrochloride,sucralfate sucralfate sucralfate sucralfate sucralfate oral,1
sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil,buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride,0
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",doxazosin doxazosin mesylate doxazosin mesylate doxazosin doxazosin,0
atenolol atenolol atenolol atenolol and chlorthalidone atenolol,abiraterone acetate abiraterone acetate abiraterone acetate abiraterone acetate abiraterone acetate,0
valacyclovir hydrochloride valacyclovir hydrochloride valacyclovir valacyclovir valacyclovir,"sofosbuvir, velpatasvir, and voxilaprevir ledipasvir and sofosbuvir velpatasvir and sofosbuvir sofosbuvir velpatasvir and sofosbuvir",0
naproxen naproxen sodium 220mg naproxen naproxen naproxen sodium,deflazacort deflazacort deflazacort oral deflazacort deflazacort,0
terazosin hydrochloride terazosin hydrochloride terazosin terazosin hydrochloride terazosin,"methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, isopropyl alcohol methylprednisolone methylprednisolone sodium succinate",1
fentanyl citrate fentanyl fentanyl fentanyl citrate fentanyl,sitagliptin and metformin hydrochloride sitagliptin sitagliptin sitagliptin sitagliptin and metformin hydrochloride,0
omeprazole omeprazole omeprazole omeprazole magnesium omeprazole,atazanavir atazanavir sulfate atazanavir atazanavir and cobicistat atazanavir,1
irbesartan irbesartan irbesartan irbesartan irbesartan and hydrochlorothiazide,oral semaglutide semaglutide semaglutide semaglutide semaglutide,1
lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride,hydroxyzine pamoate hydroxyzine pamoate hydroxyzine pamoate hydroxyzine hydrochloride hydroxyzine hydrochloride,1
"tetracycline hydrochloride tetracycline hydrochloride adenosinum triphosphoricum dinatrum, l-asparagine (monohydrate), l-phenylalanine, quercetin, ileum (suis), jejunum (suis), stomach (suis), ascorbicum acidum, calcarea carbonica, ferrum iodatum, tetracycline, egg (hen whole), proteus (morgani) tetracycline hydrochloride tetracycline hydrochloride",prasugrel prasugrel prasugrel prasugrel prasugrel,1
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,terazosin hydrochloride terazosin hydrochloride terazosin terazosin hydrochloride terazosin,1
zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,deflazacort deflazacort deflazacort oral deflazacort deflazacort,1
diltiazem hydrochloride diltiazem hydrochloride diltiazem hydrochloride diltiazem hydrochloride diltiazem hydrochloride,carbamazepine carbamazepine carbamazepine carbamazepine carbamazepine,1
nystatin nystatin nystatin nystatin nystatin,propylthiouracil propylthiouracil propylthiouracil propylthiouracil propylthiouracil,0
acyclovir acyclovir acyclovir acyclovir acyclovir,mycophenolate mofetil mycophenolate mofetil mycophenolate mofetil mycophenolate mofetil mycophenolate mofetil,0
"clarithromycin clarithromycin clarithromycin vonoprazan fumarate and amoxicillin, vonoprazan fumarate, amoxicillin and clarithromycin clarithromycin",metoprolol tartrate metoprolol succinate er tablets metoprolol succinate metoprolol tartrate metoprolol tartrate,1
glipizide glipizide glipizide glipizide glipizide and metformin hydrochloride,imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,1
cromolyn sodium cromolyn sodium inhalation solution cromolyn sodium cromolyn sodium cromolyn sodium inhalation,liothyronine sodium liothyronine sodium levothyroxine and liothyronine liothyronine sodium liothyronine sodium,1
"empagliflozin and metformin hydrochloride empagliflozin empagliflozin empagliflozin empagliflozin, linagliptin, metformin hydrochloride",dasatinib dasatinib dasatinib dasatinib dasatinib,0
clozapine clozapine clozapine clozapine clozapine,roflumilast roflumilast roflumilast roflumilast roflumilast,0
doxycycline doxycycline doxycycline hyclate doxycycline monohydrate doxycycline hyclate,pantoprazole sodium pantoprazole sodium injection pantoprazole sodium pantoprazole sodium delayed-release pantoprazole sodium dr,0
haloperidol haloperidol haloperidol decanoate haloperidol haloperidol,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,0
alirocumab alirocumab,levetiracetam levetiracetam levetiracetam levetiracetam levetiracetam er,0
hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride hydralazine hydrochloride,ezetimibe and simvastatin ezetimibe and simvastatin ezetimibe ezetimibe ezetimibe,0
enoxaparin sodium enoxaparin sodium enoxaparin sodium enoxaparin sodium enoxaparin sodium,halobetasol propionate halobetasol propionate halobetasol propionate halobetasol propionate halobetasol propionate,0
prazosin hydrochloride prazosin hydrochloride prazosin hcl prazosin hydrochloride prazosin hydrochloride,"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",0
famotidine famotidine famotidine ibuprofen and famotidine famotidine,sodium iodide i 123 sodium iodide i 123,0
metoclopramide metoclopramide metoclopramide metoclopramide metoclopramide,anastrozole anastrozole anastrozole anastrozole anastrozole tablets,1
betamethasone dipropionate betamethasone sodium phosphate and betamethasone acetate betamethasone dipropionate betamethasone valerate betamethasone valerate,cisplatin cisplatin cisplatin cisplatin cisplatin,0
desvenlafaxine succinate desvenlafaxine er desvenlafaxine desvenlafaxine succinate desvenlafaxine,"ketoconazole ketoconazole ketoconazole cream, 2% danil compound ketoconazole solution for scalp disorders. ketoconazole",1
levofloxacin levofloxacin levofloxacin levofloxacin levofloxacin,"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",1
prazosin hydrochloride prazosin hydrochloride prazosin hcl prazosin hydrochloride prazosin hydrochloride,fluvastatin fluvastatin sodium fluvastatin fluvastatin sodium fluvastatin sodium,0
benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,venlafaxine venlafaxine hydrochloride venlafaxine venlafaxine hydrochloride venlafaxine hydrochloride,1
daptomycin daptomycin daptomycin daptomycin daptomycin,danazol danazol danazol danazol,0
tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride tramadol hydrochloride,zanamivir,0
quetiapine quetiapine fumarate quetiapine quetiapine quetiapine fumarate,"acetaminophen and codeine phosphate codeine sulfate acetaminophen and codeine phosphate butalbital, acetaminophen, caffeine and codeine phosphate butalbital, acetaminophen, caffeine, and codeine phosphate",0
trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride trazodone hydrochloride,"diphenhydramine hcl acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride diphenhydramine hydrochloride diphenhydramine hcl acetaminophen 500mg/ diphenhydramine hcl 25mg",1
amoxicillin and clavulanate potassium amoxicillin amoxicillin amoxicillin and clavulanate potassium amoxicillin and clavulanate potassium,levonorgestrel and ethinyl estradiol norgestimate and ethinyl estradiol estradiol estradiol estradiol,1
tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate,tacrolimus extended-release capsules tacrolimus tacrolimus tacrolimus tacrolimus,0
omeprazole omeprazole omeprazole omeprazole magnesium omeprazole,citalopram hydrobromide citalopram citalopram citalopram hydrobromide citalopram,1
levofloxacin levofloxacin levofloxacin levofloxacin levofloxacin,letrozole letrozole letrozole letrozole letrozole tablets,1
terazosin hydrochloride terazosin hydrochloride terazosin terazosin hydrochloride terazosin,ticagrelor ticagrelor ticagrelor ticagrelor ticagrelor,0
fluconazole fluconazole fluconazole fluconazole fluconazole,tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate,0
lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir lopinavir and ritonavir,deflazacort deflazacort deflazacort oral deflazacort deflazacort,1
perindopril erbumine,warfarin sodium warfarin sodium warfarin sodium warfarin sodium warfarin sodium,1
buprenorphine buprenorphine buprenorphine and naloxone buprenorphine hydrochloride buprenorphine,ziprasidone ziprasidone hydrochloride ziprasidone mesylate ziprasidone ziprasidone mesylate,1
"levalbuterol inhalation 1.25mg/3ml, levalbuterol inhalation 0.63mg/3ml, levalbuterol inhalation 0.31mg/3ml levalbuterol levalbuterol hydrochloride levalbuterol levalbuterol hydrochloride",cyclosporine ophthalmic solution cyclosporine cyclosporine cyclosporine cyclosporine,1
topiramate topiramate topiramate topiramate topiramate,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
"empagliflozin and metformin hydrochloride empagliflozin empagliflozin empagliflozin empagliflozin, linagliptin, metformin hydrochloride",ondansetron hydrochloride ondansetron hydrochloride ondansetron ondansetron hydrochloride ondansetron,1
fluconazole fluconazole fluconazole fluconazole fluconazole,"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",1
aspirin low dose chewable orange pain reliever aspirin low dose,fluticasone propionate and salmeterol fluticasone propionate and salmeterol fluticasone propionate and salmeterol fluticasone propionate and salmeterol salmeterol xinafoate,0
glipizide glipizide glipizide glipizide glipizide and metformin hydrochloride,albuterol sulfate albuterol sulfate albuterol sulfate albuterol sulfate ipratropium bromide and albuterol sulfate,1
imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,reslizumab,0
pantoprazole sodium pantoprazole sodium injection pantoprazole sodium pantoprazole sodium delayed-release pantoprazole sodium dr,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
tiotropium bromide and olodaterol tiotropium bromide tiotropium bromide inhalation spray tiotropium bromide tiotropium bromide,cromolyn sodium cromolyn sodium inhalation solution cromolyn sodium cromolyn sodium cromolyn sodium inhalation,1
escitalopram oral escitalopram escitalopram escitalopram oxalate escitalopram oxalate,cetirizine hydrochloride cetirizine hydrochloride cetirizine hcl cetirizine hcl cetirizine hydrochloride,0
dapagliflozin and saxagliptin saxagliptin and metformin hydrochloride saxagliptin saxagliptin saxagliptin and metformin,doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride,1
clopidogrel bisulfate clopidogrel clopidogrel bisulfate clopidogrel clopidogrel,beclomethasone dipropionate hfa beclomethasone dipropionate beclomethasone dipropionate hfa beclomethasone dipropionate hfa beclomethasone dipropionate hfa,0
paliperidone paliperidone paliperidone paliperidone paliperidone palmitate,valproate sodium valproate sodium valproate sodium valproate sodium valproate sodium,1
hydroxyzine pamoate hydroxyzine pamoate hydroxyzine pamoate hydroxyzine hydrochloride hydroxyzine hydrochloride,tizanidine tizanidine tizanidine hydrochloride tizanidine hydrochloride tizanidine,0
omeprazole omeprazole omeprazole omeprazole magnesium omeprazole,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
pravastatin sodium pravastatin sodium pravastatin sodium pravastatin sodium pravastatin sodium,cyclosporine ophthalmic solution cyclosporine cyclosporine cyclosporine cyclosporine,1
"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",cyclophosphamide cyclophosphamide cyclophosphamide cyclophosphamide cyclophosphamide,0
vancomycin hydrochloride vancomycin hydrochloride vancomycin hydrochloride vancomycin hydrochloride vancomycin hydrochloride,glipizide glipizide glipizide glipizide glipizide and metformin hydrochloride,1
hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride hydromorphone hydrochloride,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
acyclovir acyclovir acyclovir acyclovir acyclovir,oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir,0
methadone hydrochloride methadone hydrochloride methadone hydrochloride methadone hydrochloride methadone hydrochloride,fexofenadine hcl fexofenadine hcl fexofenadine hydrochloride and pseudoephedrine hydrochloride fexofenadine hydrochloride fexofenadine hydrochloride 180 mg,1
sulindac sulindac sulindac sulindac sulindac,ampicillin sodium and sulbactam sodium ampicillin sodium ampicillin sodium ampicillin ampicillin,0
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide olmesartan medoxomil-hydrochlorothiazide lisinopril and hydrochlorothiazide hydrochlorothiazide,lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride,1
